CMDLINE /media/fox/application/python3/venv_3_12/bin/python3 test_memory.py
MEM 0.613281 1771676612.9621
MEM 23.437500 1771676613.0824
MEM 33.144531 1771676613.2022
MEM 43.246094 1771676613.3151
MEM 48.820312 1771676613.4390
MEM 65.511719 1771676613.5742
MEM 93.101562 1771676613.6993
MEM 127.984375 1771676613.8235
MEM 158.750000 1771676613.9538
MEM 187.121094 1771676614.0791
MEM 213.773438 1771676614.2173
MEM 243.023438 1771676614.3446
MEM 271.414062 1771676614.4744
MEM 300.832031 1771676614.5982
MEM 325.597656 1771676614.7208
MEM 349.800781 1771676614.8371
MEM 375.726562 1771676614.9685
MEM 410.910156 1771676615.0913
MEM 442.769531 1771676615.2087
MEM 482.941406 1771676615.3323
MEM 521.687500 1771676615.4502
MEM 559.304688 1771676615.5733
MEM 588.476562 1771676615.6916
MEM 631.281250 1771676615.8073
MEM 675.187500 1771676615.9233
MEM 716.847656 1771676616.0455
MEM 755.546875 1771676616.1668
MEM 797.398438 1771676616.2824
MEM 840.058594 1771676616.3980
MEM 883.585938 1771676616.5142
MEM 919.558594 1771676616.6475
MEM 961.027344 1771676616.7658
MEM 1001.417969 1771676616.8834
MEM 1040.785156 1771676616.9986
MEM 1080.871094 1771676617.1146
MEM 1122.101562 1771676617.2296
MEM 1163.710938 1771676617.3483
MEM 1196.582031 1771676617.4648
MEM 1239.386719 1771676617.5774
MEM 1285.535156 1771676617.6901
MEM 1330.640625 1771676617.8027
MEM 1374.210938 1771676617.9204
MEM 1421.363281 1771676618.0398
MEM 1457.007812 1771676618.1619
MEM 1486.671875 1771676618.2936
MEM 1515.527344 1771676618.4357
MEM 1553.222656 1771676618.5516
MEM 1595.121094 1771676618.6663
MEM 1634.585938 1771676618.7821
MEM 1675.464844 1771676618.8984
MEM 1717.378906 1771676619.0160
MEM 1757.320312 1771676619.1306
MEM 1793.488281 1771676619.2494
MEM 1832.710938 1771676619.3628
MEM 1879.148438 1771676619.4772
MEM 1920.523438 1771676619.5942
MEM 1966.003906 1771676619.7070
MEM 2007.425781 1771676619.8234
MEM 2041.953125 1771676619.9376
MEM 2086.453125 1771676620.0520
MEM 2131.218750 1771676620.1677
MEM 2167.863281 1771676620.2816
MEM 2212.484375 1771676620.3945
MEM 2252.566406 1771676620.5275
MEM 2287.019531 1771676620.6498
MEM 2332.640625 1771676620.7717
MEM 2381.371094 1771676620.8922
MEM 2427.761719 1771676621.0217
MEM 2470.378906 1771676621.1342
MEM 2516.933594 1771676621.2555
MEM 2567.742188 1771676621.3752
MEM 2603.863281 1771676621.4992
MEM 2629.562500 1771676621.6240
MEM 2653.308594 1771676621.7471
MEM 2698.503906 1771676621.8685
MEM 2745.898438 1771676621.9808
MEM 2792.527344 1771676622.0954
MEM 2838.437500 1771676622.2119
MEM 2885.351562 1771676622.3245
MEM 2932.367188 1771676622.4370
MEM 2976.269531 1771676622.5718
MEM 3013.773438 1771676622.6891
MEM 3059.132812 1771676622.8035
MEM 3105.882812 1771676622.9211
MEM 3154.328125 1771676623.0337
MEM 3199.394531 1771676623.1464
MEM 3247.011719 1771676623.2589
MEM 3293.988281 1771676623.3719
MEM 3337.378906 1771676623.4844
MEM 3383.304688 1771676623.6054
MEM 3430.753906 1771676623.7196
MEM 3476.527344 1771676623.8320
MEM 3523.441406 1771676623.9444
MEM 3567.730469 1771676624.0570
MEM 3613.101562 1771676624.1711
MEM 3660.937500 1771676624.2836
MEM 3707.378906 1771676624.3960
MEM 3755.074219 1771676624.5082
MEM 3801.875000 1771676624.6215
MEM 3849.269531 1771676624.7342
MEM 3896.089844 1771676624.8465
MEM 3943.484375 1771676624.9596
MEM 3987.953125 1771676625.0786
MEM 4020.066406 1771676625.2038
MEM 4048.492188 1771676625.3299
MEM 4094.878906 1771676625.4422
MEM 4137.273438 1771676625.5555
MEM 4177.679688 1771676625.6679
MEM 4222.218750 1771676625.7804
MEM 4264.835938 1771676625.8928
MEM 4308.312500 1771676626.0053
MEM 4349.304688 1771676626.1273
MEM 4394.734375 1771676626.2400
MEM 4437.636719 1771676626.3524
MEM 4480.207031 1771676626.4697
MEM 4507.105469 1771676626.5835
MEM 4543.460938 1771676626.6961
MEM 4585.984375 1771676626.8087
MEM 4619.183594 1771676626.9336
MEM 4648.664062 1771676627.0530
MEM 4681.054688 1771676627.1801
MEM 4719.660156 1771676627.3053
MEM 4725.628906 1771676627.4291
MEM 4725.628906 1771676627.5527
MEM 4725.628906 1771676627.6837
MEM 4725.628906 1771676627.8040
MEM 4725.628906 1771676627.9411
MEM 4725.628906 1771676628.0671
MEM 4725.628906 1771676628.2170
MEM 4725.628906 1771676628.3598
MEM 4725.628906 1771676628.4921
MEM 4725.628906 1771676628.6086
MEM 4725.628906 1771676628.7319
MEM 4725.628906 1771676628.8535
MEM 4725.628906 1771676628.9748
MEM 4725.628906 1771676629.0977
MEM 4725.628906 1771676629.2182
MEM 4725.628906 1771676629.3394
MEM 4725.628906 1771676629.4520
MEM 4725.628906 1771676629.5653
MEM 4725.628906 1771676629.6798
MEM 4725.628906 1771676629.7934
MEM 4725.628906 1771676629.9068
MEM 4725.628906 1771676630.0264
MEM 4725.628906 1771676630.1389
MEM 4725.628906 1771676630.2511
MEM 4725.628906 1771676630.3636
MEM 4725.628906 1771676630.4760
MEM 4725.628906 1771676630.5884
MEM 4725.628906 1771676630.7014
MEM 4725.628906 1771676630.8136
MEM 4725.628906 1771676630.9259
MEM 4725.628906 1771676631.0389
MEM 4725.628906 1771676631.1516
MEM 4725.628906 1771676631.2733
MEM 4725.628906 1771676631.3859
MEM 4725.628906 1771676631.4983
MEM 4725.628906 1771676631.6106
MEM 4725.628906 1771676631.7320
MEM 4725.628906 1771676631.8446
MEM 4725.628906 1771676631.9571
MEM 4725.628906 1771676632.0712
MEM 4725.628906 1771676632.1848
MEM 4725.628906 1771676632.2973
MEM 4725.628906 1771676632.4103
MEM 4725.628906 1771676632.5226
MEM 4725.628906 1771676632.6352
MEM 4725.628906 1771676632.7478
MEM 4725.628906 1771676632.8683
MEM 4725.628906 1771676632.9941
MEM 4725.628906 1771676633.1156
MEM 4725.628906 1771676633.2369
MEM 4725.628906 1771676633.3592
MEM 4725.628906 1771676633.4789
MEM 4725.628906 1771676633.5912
MEM 4725.628906 1771676633.7037
MEM 4725.628906 1771676633.8160
MEM 4725.628906 1771676633.9283
MEM 4725.628906 1771676634.0406
MEM 4725.628906 1771676634.1528
MEM 4725.628906 1771676634.2764
MEM 4725.628906 1771676634.4004
MEM 4725.628906 1771676634.5134
MEM 4725.628906 1771676634.6261
MEM 4725.628906 1771676634.7436
MEM 4725.628906 1771676634.8562
