CMDLINE /media/fox/application/python3/venv_3_12/bin/python3 test_memory.py
MEM 0.652344 1771676772.1525
MEM 18.230469 1771676772.2859
MEM 29.664062 1771676772.3994
MEM 39.226562 1771676772.5382
MEM 46.386719 1771676772.6615
MEM 48.617188 1771676772.7873
MEM 48.730469 1771676772.9027
MEM 48.730469 1771676773.0271
MEM 48.730469 1771676773.1396
MEM 48.761719 1771676773.2525
MEM 48.761719 1771676773.3675
MEM 48.761719 1771676773.4940
MEM 48.761719 1771676773.6277
MEM 48.761719 1771676773.7494
MEM 48.761719 1771676773.8656
MEM 48.761719 1771676773.9958
MEM 48.761719 1771676774.1114
MEM 48.761719 1771676774.2317
MEM 48.761719 1771676774.3636
MEM 48.761719 1771676774.4765
MEM 48.761719 1771676774.5976
MEM 48.761719 1771676774.7186
MEM 48.761719 1771676774.8401
MEM 48.761719 1771676774.9827
MEM 48.761719 1771676775.1033
MEM 48.761719 1771676775.2193
MEM 48.761719 1771676775.3319
MEM 48.761719 1771676775.4444
MEM 48.761719 1771676775.5570
MEM 48.761719 1771676775.6720
MEM 48.761719 1771676775.7845
MEM 48.761719 1771676775.8970
MEM 48.761719 1771676776.0114
MEM 48.761719 1771676776.1275
MEM 48.761719 1771676776.2399
MEM 48.761719 1771676776.3523
MEM 48.761719 1771676776.4823
MEM 48.785156 1771676776.6011
MEM 48.785156 1771676776.7310
MEM 48.785156 1771676776.8528
MEM 48.785156 1771676776.9788
MEM 48.785156 1771676777.1011
MEM 48.785156 1771676777.2211
MEM 48.785156 1771676777.3336
MEM 48.785156 1771676777.4464
MEM 48.785156 1771676777.5591
MEM 48.785156 1771676777.6740
MEM 48.785156 1771676777.7866
MEM 48.785156 1771676777.9016
MEM 48.785156 1771676778.0195
MEM 48.785156 1771676778.1321
MEM 48.785156 1771676778.2459
MEM 48.785156 1771676778.3761
MEM 48.785156 1771676778.5077
MEM 48.785156 1771676778.6293
MEM 48.785156 1771676778.7508
MEM 48.785156 1771676778.8725
MEM 48.785156 1771676778.9939
MEM 48.785156 1771676779.1172
MEM 48.785156 1771676779.2563
MEM 48.785156 1771676779.3821
MEM 48.785156 1771676779.5094
MEM 48.785156 1771676779.6265
MEM 48.785156 1771676779.7434
MEM 48.785156 1771676779.8609
MEM 48.785156 1771676779.9769
MEM 48.785156 1771676780.1091
MEM 48.785156 1771676780.2395
MEM 48.785156 1771676780.3593
MEM 48.785156 1771676780.5491
MEM 48.785156 1771676780.6954
MEM 48.785156 1771676780.8228
MEM 48.785156 1771676780.9472
MEM 48.785156 1771676781.0759
MEM 48.785156 1771676781.1954
MEM 48.785156 1771676781.3201
MEM 48.785156 1771676781.4363
MEM 48.785156 1771676781.5494
MEM 48.785156 1771676781.6709
MEM 48.785156 1771676781.7862
MEM 48.785156 1771676781.8996
MEM 48.785156 1771676782.0212
MEM 48.785156 1771676782.1340
MEM 48.785156 1771676782.2520
MEM 48.785156 1771676782.3715
MEM 48.785156 1771676782.4911
MEM 48.785156 1771676782.6097
MEM 48.785156 1771676782.7230
MEM 48.785156 1771676782.8356
MEM 48.785156 1771676782.9479
MEM 48.785156 1771676783.0721
MEM 48.785156 1771676783.2080
MEM 48.785156 1771676783.3351
MEM 48.785156 1771676783.4531
MEM 48.785156 1771676783.5679
MEM 48.785156 1771676783.6867
MEM 48.785156 1771676783.8023
MEM 48.785156 1771676783.9250
MEM 48.785156 1771676784.0377
MEM 48.785156 1771676784.1502
MEM 48.785156 1771676784.2640
MEM 48.785156 1771676784.3768
MEM 48.785156 1771676784.4894
MEM 48.785156 1771676784.6135
MEM 48.785156 1771676784.7352
MEM 48.785156 1771676784.8496
MEM 48.785156 1771676784.9630
MEM 48.785156 1771676785.0814
MEM 48.785156 1771676785.2003
MEM 48.785156 1771676785.3189
MEM 48.785156 1771676785.4375
MEM 48.785156 1771676785.5598
MEM 48.785156 1771676785.6833
MEM 48.785156 1771676785.8004
MEM 48.785156 1771676785.9136
MEM 48.785156 1771676786.0268
MEM 48.785156 1771676786.1427
MEM 48.785156 1771676786.2557
MEM 48.785156 1771676786.3684
MEM 48.785156 1771676786.4939
MEM 48.785156 1771676786.6128
MEM 48.785156 1771676786.7307
MEM 48.785156 1771676786.8516
MEM 48.785156 1771676786.9746
MEM 48.785156 1771676787.0952
MEM 48.785156 1771676787.2141
MEM 48.785156 1771676787.3296
MEM 48.785156 1771676787.4422
MEM 48.785156 1771676787.5771
MEM 48.785156 1771676787.6946
MEM 48.785156 1771676787.8071
MEM 48.785156 1771676787.9198
MEM 48.785156 1771676788.0323
MEM 48.785156 1771676788.1473
MEM 48.785156 1771676788.2599
MEM 48.785156 1771676788.3733
MEM 48.785156 1771676788.4858
MEM 48.785156 1771676788.5983
MEM 48.785156 1771676788.7205
MEM 48.785156 1771676788.8336
MEM 48.785156 1771676788.9495
MEM 48.785156 1771676789.0623
MEM 48.785156 1771676789.1754
MEM 48.785156 1771676789.2879
MEM 48.785156 1771676789.4003
MEM 48.785156 1771676789.5127
MEM 48.785156 1771676789.6252
MEM 48.785156 1771676789.7382
MEM 48.785156 1771676789.8514
MEM 48.785156 1771676789.9640
MEM 48.785156 1771676790.0764
MEM 48.785156 1771676790.1888
MEM 48.785156 1771676790.3012
MEM 48.785156 1771676790.4136
MEM 48.785156 1771676790.5332
MEM 48.785156 1771676790.6457
MEM 48.785156 1771676790.7585
MEM 48.785156 1771676790.8710
MEM 48.785156 1771676790.9833
MEM 48.785156 1771676791.0958
MEM 48.785156 1771676791.2150
MEM 48.785156 1771676791.3346
MEM 48.785156 1771676791.4901
MEM 48.785156 1771676791.6127
MEM 48.785156 1771676791.7344
MEM 48.785156 1771676791.8547
MEM 48.785156 1771676791.9691
MEM 48.785156 1771676792.0836
MEM 48.785156 1771676792.2018
MEM 48.785156 1771676792.3142
MEM 48.785156 1771676792.4359
MEM 48.785156 1771676792.5584
MEM 48.785156 1771676792.6824
MEM 48.785156 1771676792.7951
MEM 48.785156 1771676792.9077
MEM 48.785156 1771676793.0215
MEM 48.785156 1771676793.1342
MEM 48.785156 1771676793.2469
MEM 48.785156 1771676793.3595
MEM 48.785156 1771676793.4718
MEM 48.785156 1771676793.5843
MEM 48.785156 1771676793.6970
MEM 48.785156 1771676793.8094
MEM 48.785156 1771676793.9220
MEM 48.785156 1771676794.0347
MEM 48.785156 1771676794.1512
MEM 48.785156 1771676794.2636
MEM 48.785156 1771676794.3783
MEM 48.785156 1771676794.5006
MEM 48.785156 1771676794.6231
MEM 48.785156 1771676794.7462
MEM 48.785156 1771676794.8689
MEM 48.785156 1771676795.0135
MEM 48.785156 1771676795.1561
MEM 48.785156 1771676795.2782
MEM 48.785156 1771676795.4006
MEM 48.785156 1771676795.5233
MEM 48.785156 1771676795.6455
MEM 48.785156 1771676795.7674
MEM 48.785156 1771676795.8877
MEM 48.785156 1771676796.0073
MEM 48.785156 1771676796.1261
MEM 48.785156 1771676796.2391
MEM 48.785156 1771676796.3516
MEM 48.785156 1771676796.4643
MEM 48.785156 1771676796.6236
MEM 48.785156 1771676796.7554
MEM 48.785156 1771676796.8682
MEM 48.785156 1771676796.9806
MEM 48.785156 1771676797.0943
MEM 48.785156 1771676797.2072
MEM 48.785156 1771676797.3198
MEM 48.785156 1771676797.4414
MEM 48.785156 1771676797.5630
MEM 48.785156 1771676797.6822
MEM 48.785156 1771676797.7955
MEM 48.785156 1771676797.9079
MEM 48.785156 1771676798.0205
MEM 48.785156 1771676798.1330
MEM 48.785156 1771676798.2455
MEM 48.785156 1771676798.3590
MEM 48.785156 1771676798.4765
MEM 48.785156 1771676798.5892
MEM 48.785156 1771676798.7022
MEM 48.785156 1771676798.8145
MEM 48.785156 1771676798.9270
MEM 48.785156 1771676799.0397
MEM 48.785156 1771676799.1524
MEM 48.785156 1771676799.2649
MEM 48.785156 1771676799.3791
MEM 48.785156 1771676799.4933
MEM 48.785156 1771676799.6102
MEM 48.785156 1771676799.7280
MEM 48.785156 1771676799.8405
MEM 48.785156 1771676799.9534
MEM 48.785156 1771676800.0659
MEM 48.785156 1771676800.1784
MEM 48.785156 1771676800.2913
MEM 48.785156 1771676800.4035
MEM 48.785156 1771676800.5234
MEM 48.785156 1771676800.6429
MEM 48.785156 1771676800.7629
MEM 48.785156 1771676800.8828
MEM 48.785156 1771676800.9953
MEM 48.785156 1771676801.1077
MEM 48.785156 1771676801.2200
MEM 48.785156 1771676801.3322
MEM 48.785156 1771676801.4444
MEM 48.785156 1771676801.5710
MEM 48.785156 1771676801.6930
MEM 48.785156 1771676801.8113
MEM 48.785156 1771676801.9237
MEM 48.785156 1771676802.0362
MEM 48.785156 1771676802.1487
MEM 48.785156 1771676802.2613
MEM 48.785156 1771676802.3740
MEM 48.785156 1771676802.4969
MEM 48.785156 1771676802.6126
MEM 48.785156 1771676802.7251
MEM 48.785156 1771676802.8373
MEM 48.785156 1771676802.9501
MEM 48.785156 1771676803.0626
MEM 48.785156 1771676803.1750
MEM 48.785156 1771676803.2874
MEM 48.785156 1771676803.3998
MEM 48.785156 1771676803.5137
MEM 48.785156 1771676803.6270
MEM 48.785156 1771676803.7399
MEM 48.785156 1771676803.8523
MEM 48.785156 1771676803.9663
MEM 48.785156 1771676804.0790
MEM 48.785156 1771676804.1915
MEM 48.785156 1771676804.3050
MEM 48.785156 1771676804.4174
MEM 48.785156 1771676804.5392
MEM 48.785156 1771676804.6574
MEM 48.785156 1771676804.7746
MEM 48.785156 1771676804.8873
MEM 48.785156 1771676804.9997
MEM 48.785156 1771676805.1124
MEM 48.785156 1771676805.2259
MEM 48.785156 1771676805.3383
MEM 48.785156 1771676805.4506
MEM 48.785156 1771676805.5631
MEM 48.785156 1771676805.6757
MEM 48.785156 1771676805.7883
