CMDLINE /media/fox/application/python3/venv_3_12/bin/python3 test_memory.py
MEM 0.625000 1771676327.1158
MEM 23.437500 1771676327.2367
MEM 32.886719 1771676327.3579
MEM 43.039062 1771676327.4791
MEM 48.757812 1771676327.5988
MEM 71.464844 1771676327.7129
MEM 99.277344 1771676327.8385
MEM 137.105469 1771676327.9517
MEM 173.035156 1771676328.0650
MEM 214.171875 1771676328.1782
MEM 250.707031 1771676328.2945
MEM 285.027344 1771676328.4090
MEM 320.812500 1771676328.5279
MEM 357.097656 1771676328.6424
MEM 392.664062 1771676328.7681
MEM 430.000000 1771676328.8841
MEM 471.933594 1771676329.0005
MEM 506.648438 1771676329.1286
MEM 535.988281 1771676329.2526
MEM 574.597656 1771676329.3700
MEM 614.718750 1771676329.4867
MEM 656.644531 1771676329.6016
MEM 694.484375 1771676329.7218
MEM 733.980469 1771676329.8461
MEM 769.250000 1771676329.9616
MEM 816.480469 1771676330.0746
MEM 863.570312 1771676330.1908
MEM 905.355469 1771676330.3070
MEM 938.921875 1771676330.4687
MEM 969.078125 1771676330.6084
MEM 1015.300781 1771676330.7319
MEM 1061.429688 1771676330.8556
MEM 1098.054688 1771676330.9881
MEM 1138.304688 1771676331.1127
MEM 1173.785156 1771676331.2543
MEM 1220.152344 1771676331.3790
MEM 1266.343750 1771676331.5029
MEM 1313.144531 1771676331.6265
MEM 1349.722656 1771676331.7560
MEM 1398.714844 1771676331.8694
MEM 1445.175781 1771676331.9824
MEM 1490.062500 1771676332.0955
MEM 1537.957031 1771676332.2090
MEM 1586.136719 1771676332.3225
MEM 1634.058594 1771676332.4359
MEM 1679.234375 1771676332.5511
MEM 1727.390625 1771676332.6641
MEM 1772.687500 1771676332.7805
MEM 1817.968750 1771676332.8936
MEM 1865.050781 1771676333.0065
MEM 1912.562500 1771676333.1201
MEM 1960.125000 1771676333.2333
MEM 2007.351562 1771676333.3477
MEM 2051.429688 1771676333.4628
MEM 2093.593750 1771676333.5842
MEM 2144.390625 1771676333.6974
MEM 2191.054688 1771676333.8105
MEM 2239.140625 1771676333.9238
MEM 2286.562500 1771676334.0372
MEM 2334.832031 1771676334.1504
MEM 2381.152344 1771676334.2635
MEM 2428.378906 1771676334.3767
MEM 2476.480469 1771676334.4922
MEM 2519.921875 1771676334.6090
MEM 2566.003906 1771676334.7223
MEM 2613.179688 1771676334.8355
MEM 2658.109375 1771676334.9489
MEM 2704.144531 1771676335.0618
MEM 2751.277344 1771676335.1828
MEM 2802.992188 1771676335.2963
MEM 2851.257812 1771676335.4097
MEM 2898.164062 1771676335.5227
MEM 2944.667969 1771676335.6359
MEM 2990.320312 1771676335.7490
MEM 3037.214844 1771676335.8623
MEM 3085.191406 1771676335.9754
MEM 3132.957031 1771676336.0885
MEM 3180.109375 1771676336.2020
MEM 3228.273438 1771676336.3154
MEM 3275.929688 1771676336.4285
MEM 3320.433594 1771676336.5503
MEM 3348.269531 1771676336.6715
MEM 3388.289062 1771676336.7923
MEM 3437.187500 1771676336.9129
MEM 3484.507812 1771676337.0340
MEM 3534.230469 1771676337.1469
MEM 3578.820312 1771676337.2602
MEM 3626.000000 1771676337.3734
MEM 3670.171875 1771676337.4993
MEM 3705.078125 1771676337.6701
MEM 3739.746094 1771676337.7829
MEM 3782.773438 1771676337.8965
MEM 3828.136719 1771676338.0094
MEM 3873.023438 1771676338.1225
MEM 3917.863281 1771676338.2356
MEM 3958.382812 1771676338.3804
MEM 4000.664062 1771676338.4937
MEM 4043.640625 1771676338.6069
MEM 4088.292969 1771676338.7215
MEM 4132.414062 1771676338.8349
MEM 4177.058594 1771676338.9480
MEM 4221.421875 1771676339.0615
MEM 4266.023438 1771676339.1750
MEM 4309.765625 1771676339.2881
MEM 4354.941406 1771676339.4012
