CMDLINE /media/fox/application/python3/venv_3_12/bin/python3 test_memory.py
MEM 0.617188 1771676120.3775
MEM 21.703125 1771676120.4987
MEM 32.628906 1771676120.6163
MEM 40.097656 1771676120.7417
MEM 48.003906 1771676120.8580
MEM 54.156250 1771676120.9798
MEM 75.367188 1771676121.0979
MEM 107.648438 1771676121.2201
MEM 133.476562 1771676121.3606
MEM 159.027344 1771676121.4823
MEM 190.292969 1771676121.5965
MEM 222.808594 1771676121.7113
MEM 252.042969 1771676121.8272
MEM 284.253906 1771676121.9422
MEM 315.671875 1771676122.0573
MEM 348.824219 1771676122.1727
MEM 378.894531 1771676122.2908
MEM 402.164062 1771676122.4135
MEM 429.800781 1771676122.5323
MEM 453.246094 1771676122.6566
MEM 478.933594 1771676122.7858
MEM 511.925781 1771676122.9182
MEM 538.566406 1771676123.0356
MEM 570.507812 1771676123.1612
MEM 607.621094 1771676123.2881
MEM 641.027344 1771676123.4179
MEM 673.683594 1771676123.5341
MEM 713.109375 1771676123.6471
MEM 746.925781 1771676123.7615
MEM 778.437500 1771676123.8866
MEM 799.347656 1771676124.0474
MEM 834.203125 1771676124.1688
MEM 859.144531 1771676124.2940
MEM 893.523438 1771676124.4146
MEM 926.136719 1771676124.5538
MEM 948.582031 1771676124.6763
MEM 981.753906 1771676124.7894
MEM 1020.808594 1771676124.9119
MEM 1056.332031 1771676125.0302
MEM 1091.855469 1771676125.1635
MEM 1120.171875 1771676125.3447
MEM 1140.593750 1771676125.4679
MEM 1175.375000 1771676125.5807
MEM 1212.789062 1771676125.7027
MEM 1246.402344 1771676125.8263
MEM 1269.128906 1771676125.9555
MEM 1298.636719 1771676126.0773
MEM 1335.207031 1771676126.1978
MEM 1371.062500 1771676126.3199
MEM 1412.031250 1771676126.4328
MEM 1445.687500 1771676126.5578
MEM 1478.488281 1771676126.6794
MEM 1508.910156 1771676126.8134
MEM 1537.312500 1771676126.9353
MEM 1573.550781 1771676127.0521
MEM 1609.070312 1771676127.1670
MEM 1646.265625 1771676127.2822
MEM 1683.601562 1771676127.3961
MEM 1715.781250 1771676127.5244
MEM 1741.898438 1771676127.6721
MEM 1775.367188 1771676127.7966
MEM 1816.476562 1771676127.9182
MEM 1856.960938 1771676128.0401
MEM 1889.429688 1771676128.1642
MEM 1927.718750 1771676128.2837
MEM 1968.253906 1771676128.3962
MEM 2004.207031 1771676128.5164
MEM 2042.664062 1771676128.6294
MEM 2082.031250 1771676128.7428
MEM 2122.851562 1771676128.8556
MEM 2163.769531 1771676128.9762
MEM 2206.261719 1771676129.0887
MEM 2248.085938 1771676129.2020
MEM 2288.765625 1771676129.3145
MEM 2326.609375 1771676129.4269
MEM 2368.355469 1771676129.5394
MEM 2405.464844 1771676129.6595
MEM 2437.347656 1771676129.7759
MEM 2473.347656 1771676129.8930
MEM 2502.664062 1771676130.0139
MEM 2535.308594 1771676130.1306
MEM 2568.933594 1771676130.2479
MEM 2603.929688 1771676130.3714
MEM 2636.539062 1771676130.4889
MEM 2662.128906 1771676130.6055
MEM 2687.101562 1771676130.7290
MEM 2721.476562 1771676130.8491
MEM 2764.207031 1771676130.9693
MEM 2805.628906 1771676131.0841
MEM 2847.808594 1771676131.1964
MEM 2888.691406 1771676131.3090
MEM 2927.687500 1771676131.4215
MEM 2967.214844 1771676131.5396
MEM 3006.226562 1771676131.6551
MEM 3042.273438 1771676131.7680
MEM 3083.957031 1771676131.8806
MEM 3125.636719 1771676131.9932
MEM 3166.769531 1771676132.1056
MEM 3208.855469 1771676132.2180
MEM 3249.914062 1771676132.3344
MEM 3290.402344 1771676132.4474
MEM 3330.343750 1771676132.5605
MEM 3370.996094 1771676132.6737
MEM 3407.855469 1771676132.7969
MEM 3439.367188 1771676132.9302
MEM 3471.500000 1771676133.0530
MEM 3505.636719 1771676133.1667
MEM 3538.960938 1771676133.2883
MEM 3574.390625 1771676133.4033
MEM 3601.792969 1771676133.5464
MEM 3628.816406 1771676133.7234
MEM 3659.328125 1771676133.8527
MEM 3690.218750 1771676133.9672
MEM 3727.214844 1771676134.0981
MEM 3757.023438 1771676134.2336
MEM 3796.539062 1771676134.3566
MEM 3831.539062 1771676134.4940
MEM 3861.089844 1771676134.6067
MEM 3901.433594 1771676134.7293
MEM 3932.804688 1771676134.8547
MEM 3970.234375 1771676134.9680
MEM 4011.621094 1771676135.0807
MEM 4047.917969 1771676135.2031
MEM 4084.429688 1771676135.3247
MEM 4124.414062 1771676135.4371
MEM 4165.367188 1771676135.5497
MEM 4203.085938 1771676135.6826
MEM 4230.253906 1771676135.8171
MEM 4254.746094 1771676135.9317
MEM 4289.363281 1771676136.0540
MEM 4324.921875 1771676136.1755
MEM 4352.230469 1771676136.2987
MEM 4374.492188 1771676136.4156
MEM 4396.261719 1771676136.5426
MEM 4430.351562 1771676136.6599
