CMDLINE /media/fox/application/python3/venv_3_12/bin/python3 test_memory.py
MEM 2.593750 1771676490.4545
MEM 20.535156 1771676490.5761
MEM 29.554688 1771676490.6912
MEM 38.191406 1771676490.8130
MEM 46.292969 1771676490.9352
MEM 48.671875 1771676491.0590
MEM 52.914062 1771676491.2314
MEM 64.179688 1771676491.3604
MEM 75.710938 1771676491.4828
MEM 92.183594 1771676491.6083
MEM 111.878906 1771676491.7243
MEM 132.683594 1771676491.8387
MEM 152.191406 1771676491.9544
MEM 171.023438 1771676492.0692
MEM 192.191406 1771676492.1866
MEM 214.617188 1771676492.3020
MEM 234.648438 1771676492.4185
MEM 255.128906 1771676492.5327
MEM 278.472656 1771676492.6482
MEM 300.085938 1771676492.7613
MEM 324.078125 1771676492.8744
MEM 347.460938 1771676492.9933
MEM 369.316406 1771676493.1082
MEM 392.125000 1771676493.2321
MEM 416.199219 1771676493.3506
MEM 439.980469 1771676493.4639
MEM 463.472656 1771676493.5896
MEM 485.386719 1771676493.7107
MEM 512.648438 1771676493.8250
MEM 540.648438 1771676493.9380
MEM 563.855469 1771676494.0622
MEM 583.093750 1771676494.1975
MEM 608.207031 1771676494.3220
MEM 637.238281 1771676494.4437
MEM 654.855469 1771676494.5686
MEM 674.667969 1771676494.6913
MEM 698.097656 1771676494.8189
MEM 727.863281 1771676494.9391
MEM 754.597656 1771676495.0541
MEM 782.722656 1771676495.1681
MEM 810.367188 1771676495.2989
MEM 832.566406 1771676495.4159
MEM 859.351562 1771676495.5304
MEM 886.894531 1771676495.6435
MEM 909.000000 1771676495.7704
MEM 935.308594 1771676495.8946
MEM 959.753906 1771676496.0221
MEM 983.292969 1771676496.1485
MEM 1010.457031 1771676496.2683
MEM 1039.199219 1771676496.3815
MEM 1067.894531 1771676496.4958
MEM 1090.621094 1771676496.6333
MEM 1114.343750 1771676496.7587
MEM 1142.226562 1771676496.8819
MEM 1170.062500 1771676497.0001
MEM 1195.558594 1771676497.1751
MEM 1220.386719 1771676497.2967
MEM 1242.871094 1771676497.4130
MEM 1261.062500 1771676497.5495
MEM 1285.125000 1771676497.6699
MEM 1312.292969 1771676497.7830
MEM 1341.371094 1771676497.8970
MEM 1368.917969 1771676498.0127
MEM 1390.023438 1771676498.1349
MEM 1412.179688 1771676498.2505
MEM 1438.484375 1771676498.3680
MEM 1464.460938 1771676498.4868
MEM 1490.003906 1771676498.6002
MEM 1515.019531 1771676498.7152
MEM 1535.359375 1771676498.8473
MEM 1561.476562 1771676498.9603
MEM 1587.308594 1771676499.0800
MEM 1611.941406 1771676499.1932
MEM 1640.304688 1771676499.3063
MEM 1668.570312 1771676499.4209
MEM 1693.203125 1771676499.5447
MEM 1719.941406 1771676499.6711
MEM 1741.476562 1771676499.7878
MEM 1767.570312 1771676499.9053
MEM 1792.589844 1771676500.0311
MEM 1820.566406 1771676500.1540
MEM 1846.253906 1771676500.2781
MEM 1871.417969 1771676500.4114
MEM 1896.003906 1771676500.5394
MEM 1921.023438 1771676500.6576
MEM 1938.878906 1771676500.7856
MEM 1961.414062 1771676500.9011
MEM 1988.675781 1771676501.0143
MEM 2017.039062 1771676501.1274
MEM 2043.824219 1771676501.2431
MEM 2069.750000 1771676501.3630
MEM 2087.222656 1771676501.4869
MEM 2102.976562 1771676501.6240
MEM 2120.167969 1771676501.7461
MEM 2140.648438 1771676501.8616
MEM 2162.085938 1771676501.9860
MEM 2181.949219 1771676502.1039
MEM 2203.828125 1771676502.2226
MEM 2229.000000 1771676502.3362
MEM 2254.257812 1771676502.4523
MEM 2272.542969 1771676502.6011
MEM 2287.152344 1771676502.7534
MEM 2298.753906 1771676502.8975
MEM 2320.671875 1771676503.0191
MEM 2348.683594 1771676503.1432
MEM 2374.667969 1771676503.2573
MEM 2394.675781 1771676503.3767
MEM 2415.300781 1771676503.5022
MEM 2439.640625 1771676503.6259
MEM 2464.894531 1771676503.7428
MEM 2490.308594 1771676503.8664
MEM 2506.062500 1771676504.0039
MEM 2522.773438 1771676504.1357
MEM 2540.820312 1771676504.2554
MEM 2558.351562 1771676504.3731
MEM 2575.628906 1771676504.4888
MEM 2592.671875 1771676504.6224
MEM 2610.101562 1771676504.7499
MEM 2635.593750 1771676504.8650
MEM 2656.507812 1771676504.9834
MEM 2680.855469 1771676505.1048
MEM 2707.257812 1771676505.2211
MEM 2733.664062 1771676505.3337
MEM 2758.109375 1771676505.4540
MEM 2777.253906 1771676505.5836
MEM 2794.867188 1771676505.7011
MEM 2816.222656 1771676505.8220
MEM 2841.144531 1771676505.9369
MEM 2865.625000 1771676506.0508
MEM 2888.734375 1771676506.1703
MEM 2905.109375 1771676506.3081
MEM 2915.281250 1771676506.4761
MEM 2928.363281 1771676506.6218
MEM 2950.468750 1771676506.7497
MEM 2974.390625 1771676506.8759
MEM 2998.261719 1771676506.9989
MEM 3021.847656 1771676507.1215
MEM 3042.710938 1771676507.2445
MEM 3061.570312 1771676507.3602
MEM 3084.917969 1771676507.4774
MEM 3109.316406 1771676507.5911
MEM 3134.093750 1771676507.7155
MEM 3156.250000 1771676507.8382
MEM 3181.210938 1771676507.9611
MEM 3205.773438 1771676508.0840
MEM 3231.574219 1771676508.2070
MEM 3258.851562 1771676508.3277
MEM 3282.582031 1771676508.4499
MEM 3301.582031 1771676508.5686
MEM 3325.683594 1771676508.6814
MEM 3349.664062 1771676508.7940
MEM 3376.734375 1771676508.9152
MEM 3396.261719 1771676509.0324
MEM 3422.472656 1771676509.1492
MEM 3448.828125 1771676509.2644
MEM 3475.941406 1771676509.3843
MEM 3503.113281 1771676509.5019
MEM 3522.210938 1771676509.6233
MEM 3547.324219 1771676509.7381
MEM 3575.492188 1771676509.8509
MEM 3604.187500 1771676509.9728
MEM 3632.718750 1771676510.1027
MEM 3657.183594 1771676510.2286
MEM 3681.582031 1771676510.3865
MEM 3704.691406 1771676510.5174
MEM 3731.093750 1771676510.6364
MEM 3757.210938 1771676510.7573
MEM 3786.714844 1771676510.8789
MEM 3810.730469 1771676510.9995
MEM 3830.734375 1771676511.1229
MEM 3851.695312 1771676511.2453
MEM 3877.718750 1771676511.3592
MEM 3896.242188 1771676511.4821
MEM 3917.925781 1771676511.5974
MEM 3944.605469 1771676511.7105
MEM 3973.300781 1771676511.8229
MEM 4001.136719 1771676511.9356
MEM 4025.390625 1771676512.0510
MEM 4048.593750 1771676512.1647
MEM 4072.609375 1771676512.2883
MEM 4088.222656 1771676512.4364
MEM 4108.417969 1771676512.5623
MEM 4133.964844 1771676512.6801
MEM 4159.789062 1771676512.7990
MEM 4178.175781 1771676512.9244
MEM 4197.175781 1771676513.0450
MEM 4218.136719 1771676513.1662
MEM 4241.156250 1771676513.2832
MEM 4263.113281 1771676513.4032
MEM 4288.320312 1771676513.5190
MEM 4306.750000 1771676513.6451
MEM 4323.320312 1771676513.7667
MEM 4342.128906 1771676513.8833
MEM 4361.371094 1771676514.0166
MEM 4380.691406 1771676514.1443
MEM 4398.261719 1771676514.2766
MEM 4417.980469 1771676514.3990
MEM 4433.308594 1771676514.5232
MEM 4451.019531 1771676514.6707
MEM 4474.367188 1771676514.7938
MEM 4500.246094 1771676514.9088
MEM 4520.000000 1771676515.0350
MEM 4544.828125 1771676515.1515
MEM 4569.332031 1771676515.2643
MEM 4597.500000 1771676515.3772
MEM 4623.007812 1771676515.4901
MEM 4650.257812 1771676515.6036
MEM 4677.523438 1771676515.7184
MEM 4705.394531 1771676515.8310
MEM 4718.367188 1771676515.9460
MEM 4718.367188 1771676516.0614
MEM 4718.367188 1771676516.1770
MEM 4718.367188 1771676516.2904
MEM 4718.367188 1771676516.4069
MEM 4718.367188 1771676516.5292
MEM 4718.367188 1771676516.6510
MEM 4718.367188 1771676516.7694
MEM 4718.367188 1771676516.8880
MEM 4718.367188 1771676517.0004
MEM 4718.367188 1771676517.1171
MEM 4718.367188 1771676517.2330
MEM 4718.367188 1771676517.3549
MEM 4718.367188 1771676517.4836
MEM 4718.367188 1771676517.6061
MEM 4718.367188 1771676517.7283
MEM 4718.367188 1771676517.8475
MEM 4718.367188 1771676517.9600
MEM 4718.367188 1771676518.0763
MEM 4718.367188 1771676518.1891
MEM 4718.367188 1771676518.3016
MEM 4718.367188 1771676518.4161
MEM 4718.367188 1771676518.5384
MEM 4718.367188 1771676518.6572
MEM 4718.367188 1771676518.7698
MEM 4718.367188 1771676518.8823
MEM 4718.367188 1771676518.9957
MEM 4718.367188 1771676519.1084
MEM 4718.367188 1771676519.2209
MEM 4718.367188 1771676519.3332
MEM 4718.367188 1771676519.4476
MEM 4718.367188 1771676519.5603
MEM 4718.367188 1771676519.6790
MEM 4718.367188 1771676519.7950
MEM 4718.367188 1771676519.9104
MEM 4718.367188 1771676520.0273
MEM 4718.367188 1771676520.1527
MEM 4718.367188 1771676520.2676
MEM 4718.367188 1771676520.3816
MEM 4718.367188 1771676520.4961
MEM 4718.367188 1771676520.6101
MEM 4718.367188 1771676520.7263
MEM 4718.367188 1771676520.8394
MEM 4718.367188 1771676520.9524
MEM 4718.367188 1771676521.0704
MEM 4718.367188 1771676521.2391
MEM 4718.367188 1771676521.3654
MEM 4718.367188 1771676521.5131
MEM 4718.367188 1771676521.6430
MEM 4718.367188 1771676521.7682
MEM 4718.367188 1771676521.8945
MEM 4718.367188 1771676522.0108
MEM 4718.367188 1771676522.1308
MEM 4718.367188 1771676522.2971
MEM 4718.367188 1771676522.4159
MEM 4718.367188 1771676522.5303
MEM 4718.367188 1771676522.6455
MEM 4718.367188 1771676522.7629
MEM 4718.367188 1771676522.8894
MEM 4718.367188 1771676523.0115
MEM 4718.367188 1771676523.1324
MEM 4718.367188 1771676523.2451
MEM 4718.367188 1771676523.3586
MEM 4718.367188 1771676523.4733
MEM 4718.367188 1771676523.5871
MEM 4718.367188 1771676523.6998
MEM 4718.367188 1771676523.8193
MEM 4718.367188 1771676523.9440
MEM 4718.367188 1771676524.0648
MEM 4718.367188 1771676524.2028
MEM 4718.367188 1771676524.3202
MEM 4718.367188 1771676524.4331
MEM 4718.367188 1771676524.5466
MEM 4718.367188 1771676524.6728
MEM 4718.367188 1771676524.7986
MEM 4718.367188 1771676524.9113
MEM 4718.367188 1771676525.0371
MEM 4718.367188 1771676525.1600
MEM 4718.367188 1771676525.2848
MEM 4718.367188 1771676525.4071
MEM 4718.367188 1771676525.5292
MEM 4718.367188 1771676525.6509
MEM 4718.367188 1771676525.7724
MEM 4718.367188 1771676525.8938
MEM 4718.367188 1771676526.0155
MEM 4718.367188 1771676526.1337
MEM 4718.367188 1771676526.2482
MEM 4718.367188 1771676526.3624
MEM 4718.367188 1771676526.4747
MEM 4718.367188 1771676526.5873
MEM 4718.367188 1771676526.7001
MEM 4718.367188 1771676526.8220
MEM 4718.367188 1771676526.9440
MEM 4718.367188 1771676527.0644
MEM 4718.367188 1771676527.1829
MEM 4718.367188 1771676527.2971
MEM 4718.367188 1771676527.4168
MEM 4718.367188 1771676527.5412
MEM 4718.367188 1771676527.6581
MEM 4718.367188 1771676527.7784
MEM 4718.367188 1771676527.8975
MEM 4718.367188 1771676528.0127
MEM 4718.367188 1771676528.1390
